(096135209,0)
(098106657,1)
(098106703,0)
(098106802,0)
(098106967,0)
(098107084,2)
(098107087,0)
(098107121,0)
(098108052,0)
(098108163,1)
(098108228,0)
(098108237,3)
(098108404,4)
(098108446,0)
(098108449,0)
(098108453,0)
(098108488,0)
(098108492,0)
(098108503,0)
(098108504,1)
(098108521,1)
(098108542,0)
(098108547,0)
(098108557,2)
(098108570,0)
(098108585,0)
(098108720,2)
(098108742,0)
(098108747,1)
(098108757,0)
(098108794,0)
(098108814,3)
(098108888,0)
(098108889,3)
(098108918,4)
(098108994,0)
(098109008,0)
(098109164,2)
(098109188,0)
(098109251,0)
(098109331,3)
(098109342,0)
(098109617,0)
(098109623,0)
(099130654,0)
(099130656,4)
(099130662,1)
(099130664,0)
(099130672,2)
(099130679,1)
(099130682,0)
(099130726,0)
(099130730,0)
(099130743,1)
(099130757,0)
(099130792,0)
(099130821,0)
(099130855,2)
(099130858,0)
(099131025,3)
(099131032,1)
(099131322,0)
(099131375,0)
(099131383,0)
(099131384,0)
(099131385,0)
(099131394,2)
(099131401,0)
(099131413,0)
(099131416,1)
(099131420,0)
(099131429,0)
(099131446,0)
(099131448,0)
(099131472,0)
(099131486,0)
(099131528,0)
(099131529,0)
(099131563,0)
(099131569,0)
(099131582,0)
(099131594,0)
(099131603,0)
(099131698,0)
(099131719,0)
(099131760,0)
(099131889,0)
(099131912,0)
(099131946,0)
(099131964,0)
(099131968,0)
(099131982,0)
(099131987,0)
(099132005,0)
(099132012,0)
(099132021,0)
(099132028,0)
(099132034,0)
(099132038,4)
(099132040,0)
(099132064,0)
(099132119,0)
(099132153,0)
(099132248,0)
(099132291,0)
(099132299,0)
(099132348,0)
(099132355,0)
(099132356,0)
(099132371,0)
(099132851,0)
(099132863,0)
(099132864,0)
(099132903,0)
(099132942,0)
(099134478,0)
(099134599,0)
(099134655,0)
(099134677,0)
(099134779,1)
(099134798,0)
(099134935,0)
(099134944,0)
(099135103,0)
(099135113,0)
(099135164,0)
(099135168,2)
(099135174,0)
(099135365,2)
(099135545,1)
(099135550,0)
(099135568,1)
(099135616,3)
(099135624,3)
(099135675,4)
(099135681,2)
(099135684,3)
(099135705,0)
(099135729,0)
(099135844,2)
(099135849,0)
(099135858,0)
(099135871,1)
(099135885,0)
(099135919,1)
(099135954,0)
(099135955,3)
(099136028,0)
(099136065,0)
(099136105,0)
(099136109,0)
(099136124,0)
(099136159,3)
(099136276,2)
(099136343,0)
(099136427,3)
(099136484,0)
(099136488,0)
(099136490,0)
(099136561,4)
